Serie,AMERB,Fecha colecta,dia,mes,ano,categoria,Especie,extraccion,peso,Diametro terreno ,Diametro extraida ,Circunferencia,Estipes,Largo total ,Estado reproductivo ,Soros liberados ,Largo hasta fronda,Observaciones
74,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,3.9800,26.0000,22.0000,NaN,5.0000,165.0000,NaN,NaN,NaN,
75,Cobquecura,16-06-18,16,6,2018,Submareal,Lessonia trabeculata,Barreteada,1.9400,31.0000,27.0000,NaN,2.0000,137.0000,NaN,NaN,NaN,
76,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,2.1600,NaN,6.0000,NaN,7.0000,99.0000,NaN,NaN,NaN,
77,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,4.5200,NaN,19.0000,NaN,3.0000,198.0000,NaN,NaN,NaN,
78,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,3.0200,NaN,25.0000,NaN,7.0000,126.0000,NaN,NaN,NaN,
79,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,0.2000,NaN,10.0000,NaN,4.0000,59.0000,NaN,NaN,NaN,
80,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,0.6000,NaN,11.0000,NaN,8.0000,68.0000,NaN,NaN,NaN,
81,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,1.9200,NaN,22.0000,NaN,8.0000,108.0000,NaN,NaN,NaN,
82,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,0.7800,NaN,15.0000,NaN,2.0000,95.0000,NaN,NaN,NaN,
83,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,1.2000,NaN,14.0000,NaN,10.0000,105.0000,NaN,NaN,NaN,
84,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,18.8000,NaN,33.0000,NaN,26.0000,213.0000,NaN,NaN,NaN,
85,Cobquecura,17-06-18,17,6,2018,Intermareal,Lessonia spicata,Barreteada,0.0010,NaN,1.0000,NaN,8.0000,9.0000,NaN,NaN,NaN,
86,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,2.3000,20.1000,17.2000,NaN,2.0000,155.0000,0.0000,NaN,64.0000,
87,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.7400,15.0000,11.0000,NaN,1.0000,124.0000,0.0000,NaN,60.0000,
88,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,2.0500,23.0000,16.0000,NaN,4.0000,139.0000,1.0000,NaN,33.0000,
89,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.1800,10.0000,7.0000,NaN,2.0000,74.0000,1.0000,NaN,35.0000,
90,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,4.8800,19.0000,16.0000,NaN,8.0000,183.0000,1.0000,NaN,91.0000,
91,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,4.1200,30.0000,21.0000,NaN,7.0000,143.0000,1.0000,NaN,64.0000,
92,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,1.5800,17.0000,15.0000,NaN,7.0000,114.0000,1.0000,NaN,45.0000,
93,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,1.9800,26.0000,19.0000,NaN,3.0000,137.0000,1.0000,NaN,59.0000,
94,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,1.0600,16.0000,12.0000,NaN,1.0000,149.0000,1.0000,NaN,89.0000,Disco estaba incompleto por ruptura al extraer alga
95,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.5600,14.0000,10.0000,NaN,3.0000,148.0000,1.0000,NaN,50.0000,
96,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,1.3600,19.0000,19.0000,NaN,4.0000,139.0000,1.0000,NaN,67.0000,
97,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.9200,16.0000,13.0000,NaN,3.0000,110.0000,1.0000,NaN,39.0000,
98,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.8600,15.0000,13.0000,NaN,2.0000,195.0000,1.0000,NaN,84.0000,
99,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,4.3000,35.0000,29.0000,NaN,3.0000,185.0000,1.0000,NaN,60.0000,
100,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,1.3800,23.0000,20.0000,NaN,1.0000,203.0000,1.0000,NaN,90.0000,
101,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.8600,13.0000,11.0000,NaN,2.0000,158.0000,1.0000,NaN,57.0000,
102,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,4.1600,21.0000,16.0000,NaN,5.0000,139.0000,1.0000,NaN,58.0000,
103,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,3.9800,14.0000,12.0000,NaN,3.0000,162.0000,0.0000,NaN,76.0000,
104,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.0200,7.0000,6.0000,NaN,3.0000,45.0000,0.0000,NaN,3.0000,
105,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,1.7000,23.0000,21.0000,NaN,4.0000,138.0000,1.0000,NaN,58.0000,
106,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,3.9000,28.0000,25.0000,NaN,2.0000,163.0000,1.0000,NaN,59.0000,
107,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,3.8200,37.0000,33.0000,NaN,5.0000,180.0000,1.0000,NaN,67.0000,
108,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.2800,9.0000,9.0000,NaN,1.0000,107.0000,1.0000,NaN,38.0000,
109,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,3.4200,37.0000,33.0000,NaN,5.0000,137.0000,1.0000,NaN,66.0000,
110,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,0.0140,2.0000,3.2000,NaN,1.0000,25.0000,1.0000,NaN,2.0000,
111,Ventana,03-08-18,3,8,2018,Submareal,Lessonia trabeculata,Barreteada,7.4600,30.0000,26.0000,NaN,9.0000,206.0000,1.0000,NaN,83.0000,
